"행정구역(시군구)별","성별","국적(지역)별","항목","단위","2022 년","2021 년","2020 년","2019 년",
"계","계","우크라이나","지역, 국적 및 성별 등록외국인 현황[명]","명","3191","2558","2811","3213",
"계","계","이집트","지역, 국적 및 성별 등록외국인 현황[명]","명","2514","2511","2568","2827",
"계","계","남아프리카공화국","지역, 국적 및 성별 등록외국인 현황[명]","명","3335","2463","2454","2503",
"계","계","나이지리아","지역, 국적 및 성별 등록외국인 현황[명]","명","2522","2431","2362","2306",
"계","계","독일","지역, 국적 및 성별 등록외국인 현황[명]","명","3187","2404","1937","2305",
"계","계","티모르민주공화국(동티모르)","지역, 국적 및 성별 등록외국인 현황[명]","명","3097","2186","2121","2256",
"계","계","홍콩","지역, 국적 및 성별 등록외국인 현황[명]","명","2126","1859","1796","1924",
"계","계","오스트레일리아","지역, 국적 및 성별 등록외국인 현황[명]","명","1819","1644","1632","1687",
"계","계","시리아","지역, 국적 및 성별 등록외국인 현황[명]","명","1617","1517","1532","1517",
"계","계","튀르키예","지역, 국적 및 성별 등록외국인 현황[명]","명","2772","1500","1396","1371",
"계","계","한국계러시아인","지역, 국적 및 성별 등록외국인 현황[명]","명","1866","1652","1386","1360",
"계","계","가나","지역, 국적 및 성별 등록외국인 현황[명]","명","1163","1106","1103","1169",
"계","계","모로코","지역, 국적 및 성별 등록외국인 현황[명]","명","1487","1277","1192","1136",
"계","계","이란","지역, 국적 및 성별 등록외국인 현황[명]","명","1286","1160","1073","1049",
"계","계","예멘공화국","지역, 국적 및 성별 등록외국인 현황[명]","명","1098","1059","1044","1036",
"계","계","라오스","지역, 국적 및 성별 등록외국인 현황[명]","명","1908","1100","1031","1015",
"계","계","사우디아라비아","지역, 국적 및 성별 등록외국인 현황[명]","명","925","770","776","1004",
"계","계","에티오피아","지역, 국적 및 성별 등록외국인 현황[명]","명","1117","1005","947","902",
"계","계","이탈리아","지역, 국적 및 성별 등록외국인 현황[명]","명","1051","872","783","861",
"계","계","카메룬","지역, 국적 및 성별 등록외국인 현황[명]","명","826","847","847","818",
"계","계","브라질","지역, 국적 및 성별 등록외국인 현황[명]","명","1244","969","808","793",
"계","계","뉴질랜드","지역, 국적 및 성별 등록외국인 현황[명]","명","706","669","671","762",
"계","계","스페인","지역, 국적 및 성별 등록외국인 현황[명]","명","1101","851","623","708",
"계","계","싱가포르","지역, 국적 및 성별 등록외국인 현황[명]","명","799","654","567","656",
"계","계","네덜란드","지역, 국적 및 성별 등록외국인 현황[명]","명","806","542","417","635",
"계","계","아일랜드","지역, 국적 및 성별 등록외국인 현황[명]","명","644","611","560","598",
"계","계","멕시코","지역, 국적 및 성별 등록외국인 현황[명]","명","855","695","539","583",
"계","계","아랍에미리트연합","지역, 국적 및 성별 등록외국인 현황[명]","명","502","282","206","572",
"계","계","라이베리아","지역, 국적 및 성별 등록외국인 현황[명]","명","472","472","499","497",
"계","계","타지키스탄","지역, 국적 및 성별 등록외국인 현황[명]","명","797","589","493","496",
"계","계","우간다","지역, 국적 및 성별 등록외국인 현황[명]","명","551","472","475","493",
"계","계","스웨덴","지역, 국적 및 성별 등록외국인 현황[명]","명","576","442","318","450",
"계","계","알제리","지역, 국적 및 성별 등록외국인 현황[명]","명","451","418","443","436",
"계","계","콜롬비아","지역, 국적 및 성별 등록외국인 현황[명]","명","527","439","369","384",
"계","계","리비아","지역, 국적 및 성별 등록외국인 현황[명]","명","677","506","433","383",
"계","계","케냐","지역, 국적 및 성별 등록외국인 현황[명]","명","458","379","367","382",
"계","계","폴란드","지역, 국적 및 성별 등록외국인 현황[명]","명","512","436","323","373",
"계","계","세네갈","지역, 국적 및 성별 등록외국인 현황[명]","명","317","306","330","356",
"계","계","페루","지역, 국적 및 성별 등록외국인 현황[명]","명","472","392","359","342",
"계","계","아프가니스탄","지역, 국적 및 성별 등록외국인 현황[명]","명","832","767","310","340",
"계","계","벨기에","지역, 국적 및 성별 등록외국인 현황[명]","명","459","393","312","340",
"계","계","이라크","지역, 국적 및 성별 등록외국인 현황[명]","명","433","364","320","337",
"계","계","요르단","지역, 국적 및 성별 등록외국인 현황[명]","명","481","407","346","320",
"계","계","투르크메니스탄","지역, 국적 및 성별 등록외국인 현황[명]","명","240","244","283","294",
"계","계","튀니지","지역, 국적 및 성별 등록외국인 현황[명]","명","338","276","268","269",
"계","계","노르웨이","지역, 국적 및 성별 등록외국인 현황[명]","명","285","251","208","266",
"계","계","기니","지역, 국적 및 성별 등록외국인 현황[명]","명","255","264","271","256",
"계","계","수단","지역, 국적 및 성별 등록외국인 현황[명]","명","294","256","249","255",
"계","계","탄자니아","지역, 국적 및 성별 등록외국인 현황[명]","명","454","281","222","251",
"계","계","르완다","지역, 국적 및 성별 등록외국인 현황[명]","명","320","259","232","244",
"계","계","스위스","지역, 국적 및 성별 등록외국인 현황[명]","명","346","313","253","243",
"계","계","에콰도르","지역, 국적 및 성별 등록외국인 현황[명]","명","247","211","206","239",
"계","계","덴마크","지역, 국적 및 성별 등록외국인 현황[명]","명","345","236","170","230",
"계","계","벨로루시","지역, 국적 및 성별 등록외국인 현황[명]","명","291","225","203","225",
"계","계","콩고민주공화국","지역, 국적 및 성별 등록외국인 현황[명]","명","278","239","220","213",
"계","계","말리","지역, 국적 및 성별 등록외국인 현황[명]","명","235","202","212","204",
"계","계","그리스","지역, 국적 및 성별 등록외국인 현황[명]","명","219","211","220","204",
"계","계","오스트리아","지역, 국적 및 성별 등록외국인 현황[명]","명","256","208","182","199",
"계","계","아제르바이잔","지역, 국적 및 성별 등록외국인 현황[명]","명","287","217","180","189",
"계","계","루마니아","지역, 국적 및 성별 등록외국인 현황[명]","명","266","232","182","189",
"계","계","핀란드","지역, 국적 및 성별 등록외국인 현황[명]","명","251","180","163","172",
"계","계","칠레","지역, 국적 및 성별 등록외국인 현황[명]","명","238","178","155","169",
"계","계","헝가리","지역, 국적 및 성별 등록외국인 현황[명]","명","204","171","154","168",
"계","계","코트디부아르","지역, 국적 및 성별 등록외국인 현황[명]","명","183","163","171","157",
"계","계","베네수엘라","지역, 국적 및 성별 등록외국인 현황[명]","명","166","148","140","156",
"계","계","포르투갈","지역, 국적 및 성별 등록외국인 현황[명]","명","177","146","129","150",
"계","계","앙골라","지역, 국적 및 성별 등록외국인 현황[명]","명","148","137","139","141",
"계","계","이스라엘","지역, 국적 및 성별 등록외국인 현황[명]","명","200","172","149","139",
"계","계","감비아","지역, 국적 및 성별 등록외국인 현황[명]","명","129","124","138","138",
"계","계","체코","지역, 국적 및 성별 등록외국인 현황[명]","명","190","123","114","133",
"계","계","불가리아","지역, 국적 및 성별 등록외국인 현황[명]","명","130","130","121","126",
"계","계","아르헨티나","지역, 국적 및 성별 등록외국인 현황[명]","명","204","155","115","117",
"계","계","무국적","지역, 국적 및 성별 등록외국인 현황[명]","명","122","98","","106",
"계","계","마카오","지역, 국적 및 성별 등록외국인 현황[명]","명","90","76","88","105",
"계","계","부룬디","지역, 국적 및 성별 등록외국인 현황[명]","명","208","132","113","104",
"계","계","짐바브웨","지역, 국적 및 성별 등록외국인 현황[명]","명","106","96","89","94",
"계","계","잠비아","지역, 국적 및 성별 등록외국인 현황[명]","명","90","88","90","84",
"계","계","리투아니아","지역, 국적 및 성별 등록외국인 현황[명]","명","116","88","74","74",
"계","계","파라과이","지역, 국적 및 성별 등록외국인 현황[명]","명","74","79","72","68",
"계","계","과테말라","지역, 국적 및 성별 등록외국인 현황[명]","명","78","67","65","68",
"계","계","쿠웨이트","지역, 국적 및 성별 등록외국인 현황[명]","명","52","50","43","67",
"계","계","피지","지역, 국적 및 성별 등록외국인 현황[명]","명","44","43","47","65",
"계","계","볼리비아","지역, 국적 및 성별 등록외국인 현황[명]","명","69","61","59","64",
"계","계","크로아티아","지역, 국적 및 성별 등록외국인 현황[명]","명","91","64","66","63",
"계","계","도미니카공화국","지역, 국적 및 성별 등록외국인 현황[명]","명","69","61","52","62",
"계","계","가봉","지역, 국적 및 성별 등록외국인 현황[명]","명","81","74","72","61",
"계","계","아르메니아","지역, 국적 및 성별 등록외국인 현황[명]","명","68","69","59","60",
"계","계","시에라리온","지역, 국적 및 성별 등록외국인 현황[명]","명","84","80","70","60",
"계","계","브루나이","지역, 국적 및 성별 등록외국인 현황[명]","명","120","55","41","60",
"계","계","엘살바도르","지역, 국적 및 성별 등록외국인 현황[명]","명","64","52","52","57",
"계","계","파나마","지역, 국적 및 성별 등록외국인 현황[명]","명","75","68","62","56",
"계","계","모잠비크","지역, 국적 및 성별 등록외국인 현황[명]","명","48","60","49","54",
"계","계","조지아","지역, 국적 및 성별 등록외국인 현황[명]","명","91","74","58","50",
"계","계","팔레스타인","지역, 국적 및 성별 등록외국인 현황[명]","명","75","57","51","49",
"계","계","코스타리카","지역, 국적 및 성별 등록외국인 현황[명]","명","77","62","50","48",
"계","계","슬로바크","지역, 국적 및 성별 등록외국인 현황[명]","명","72","66","57","48",
"계","계","미등록국가","지역, 국적 및 성별 등록외국인 현황[명]","명","32","38","","48",
"계","계","세르비아","지역, 국적 및 성별 등록외국인 현황[명]","명","69","60","58","46",
"계","계","토고","지역, 국적 및 성별 등록외국인 현황[명]","명","39","43","44","45",
"계","계","부르키나파소","지역, 국적 및 성별 등록외국인 현황[명]","명","42","44","45","44",
"계","계","온두라스","지역, 국적 및 성별 등록외국인 현황[명]","명","46","40","43","43",
"계","계","자메이카","지역, 국적 및 성별 등록외국인 현황[명]","명","37","36","38","42",
"계","계","영국외지민","지역, 국적 및 성별 등록외국인 현황[명]","명","79","69","60","42",
"계","계","라트비아","지역, 국적 및 성별 등록외국인 현황[명]","명","78","67","40","40",
"계","계","몰도바","지역, 국적 및 성별 등록외국인 현황[명]","명","48","43","45","39",
"계","계","쿠바","지역, 국적 및 성별 등록외국인 현황[명]","명","35","33","23","38",
"계","계","슬로베니아","지역, 국적 및 성별 등록외국인 현황[명]","명","51","42","32","38",
"계","계","레바논","지역, 국적 및 성별 등록외국인 현황[명]","명","35","33","30","33",
"계","계","에스토니아","지역, 국적 및 성별 등록외국인 현황[명]","명","42","35","32","32",
"계","계","카타르","지역, 국적 및 성별 등록외국인 현황[명]","명","42","36","20","30",
"계","계","아이티","지역, 국적 및 성별 등록외국인 현황[명]","명","188","33","30","29",
"계","계","마다가스카르","지역, 국적 및 성별 등록외국인 현황[명]","명","26","28","20","29",
"계","계","부탄","지역, 국적 및 성별 등록외국인 현황[명]","명","42","32","21","28",
"계","계","베냉","지역, 국적 및 성별 등록외국인 현황[명]","명","16","15","24","28",
"계","계","니카라과","지역, 국적 및 성별 등록외국인 현황[명]","명","39","34","35","28",
"계","계","오만","지역, 국적 및 성별 등록외국인 현황[명]","명","69","30","30","27",
"계","계","우루과이","지역, 국적 및 성별 등록외국인 현황[명]","명","33","32","23","26",
"계","계","콩고","지역, 국적 및 성별 등록외국인 현황[명]","명","25","21","22","25",
"계","계","국제연합","지역, 국적 및 성별 등록외국인 현황[명]","명","35","33","","25",
"계","계","말라위","지역, 국적 및 성별 등록외국인 현황[명]","명","40","22","24","24",
"계","계","알바니아","지역, 국적 및 성별 등록외국인 현황[명]","명","23","23","23","23",
"계","계","보츠와나","지역, 국적 및 성별 등록외국인 현황[명]","명","18","18","17","23",
"계","계","모리셔스","지역, 국적 및 성별 등록외국인 현황[명]","명","19","10","15","23",
"계","계","트리니다드토바고","지역, 국적 및 성별 등록외국인 현황[명]","명","21","20","17","22",
"계","계","키리바시","지역, 국적 및 성별 등록외국인 현황[명]","명","","1","14","21",
"계","계","바레인","지역, 국적 및 성별 등록외국인 현황[명]","명","14","7","6","18",
"계","계","기니비사우","지역, 국적 및 성별 등록외국인 현황[명]","명","14","18","20","18",
"계","계","소말리아","지역, 국적 및 성별 등록외국인 현황[명]","명","25","19","18","17",
"계","계","키프로스","지역, 국적 및 성별 등록외국인 현황[명]","명","14","18","19","16",
"계","계","룩셈부르크","지역, 국적 및 성별 등록외국인 현황[명]","명","30","19","16","16",
"계","계","남수단공화국","지역, 국적 및 성별 등록외국인 현황[명]","명","31","27","23","15",
"계","계","차드","지역, 국적 및 성별 등록외국인 현황[명]","명","11","12","10","14",
"계","계","에스와티니","지역, 국적 및 성별 등록외국인 현황[명]","명","12","12","11","13",
"계","계","에리트레아","지역, 국적 및 성별 등록외국인 현황[명]","명","13","12","12","13",
"계","계","아이슬란드","지역, 국적 및 성별 등록외국인 현황[명]","명","10","10","8","12",
"계","계","보스니아-헤르체고비나","지역, 국적 및 성별 등록외국인 현황[명]","명","10","8","7","12",
"계","계","세인트크리스토퍼네비스","지역, 국적 및 성별 등록외국인 현황[명]","명","11","9","11","11",
"계","계","모리타니","지역, 국적 및 성별 등록외국인 현황[명]","명","12","9","8","11",
"계","계","솔로몬군도","지역, 국적 및 성별 등록외국인 현황[명]","명","4","3","3","9",
"계","계","북마케도니아","지역, 국적 및 성별 등록외국인 현황[명]","명","14","12","8","8",
"계","계","중앙아프리카공화국","지역, 국적 및 성별 등록외국인 현황[명]","명","10","6","5","7",
"계","계","몰타","지역, 국적 및 성별 등록외국인 현황[명]","명","8","7","7","7",
"계","계","적도기니","지역, 국적 및 성별 등록외국인 현황[명]","명","8","7","6","6",
"계","계","바하마","지역, 국적 및 성별 등록외국인 현황[명]","명","4","4","5","6",
"계","계","몬테네그로","지역, 국적 및 성별 등록외국인 현황[명]","명","11","9","7","6",
"계","계","코소보","지역, 국적 및 성별 등록외국인 현황[명]","명","4","1","3","5",
"계","계","바누아투","지역, 국적 및 성별 등록외국인 현황[명]","명","12","6","5","5",
"계","계","레소토","지역, 국적 및 성별 등록외국인 현황[명]","명","5","4","4","5",
"계","계","니제르","지역, 국적 및 성별 등록외국인 현황[명]","명","7","7","7","5",
"계","계","몰디브","지역, 국적 및 성별 등록외국인 현황[명]","명","3","3","4","4",
"계","계","팔라우","지역, 국적 및 성별 등록외국인 현황[명]","명","2","2","2","3",
"계","계","파푸아뉴기니","지역, 국적 및 성별 등록외국인 현황[명]","명","6","4","3","3",
"계","계","코모로","지역, 국적 및 성별 등록외국인 현황[명]","명","2","1","1","3",
"계","계","벨리즈","지역, 국적 및 성별 등록외국인 현황[명]","명","5","4","4","3",
"계","계","도미니카연방","지역, 국적 및 성별 등록외국인 현황[명]","명","6","6","4","3",
"계","계","나미비아","지역, 국적 및 성별 등록외국인 현황[명]","명","2","2","1","3",
"계","계","그레나다","지역, 국적 및 성별 등록외국인 현황[명]","명","1","","","3",
"계","계","통가","지역, 국적 및 성별 등록외국인 현황[명]","명","","1","2","2",
"계","계","수리남","지역, 국적 및 성별 등록외국인 현황[명]","명","1","2","1","2",
"계","계","바베이도스","지역, 국적 및 성별 등록외국인 현황[명]","명","4","3","1","2",
"계","계","나우루","지역, 국적 및 성별 등록외국인 현황[명]","명","3","2","2","2",
"계","계","지부티","지역, 국적 및 성별 등록외국인 현황[명]","명","1","1","1","1",
"계","계","앤티카바부다","지역, 국적 및 성별 등록외국인 현황[명]","명","1","","","1",
"계","계","안도라","지역, 국적 및 성별 등록외국인 현황[명]","명","","1","","1",
"계","계","세인트루시아","지역, 국적 및 성별 등록외국인 현황[명]","명","2","2","1","1",
"계","계","세이셸","지역, 국적 및 성별 등록외국인 현황[명]","명","2","2","3","1",
"계","계","가이아나","지역, 국적 및 성별 등록외국인 현황[명]","명","11","4","4","1",
"계","계","교황청","지역, 국적 및 성별 등록외국인 현황[명]","명","2","2","","",
"계","계","영국외지시민","지역, 국적 및 성별 등록외국인 현황[명]","명","1","1","","",
"계","계","영국속령지시민","지역, 국적 및 성별 등록외국인 현황[명]","명","","1","","",
"계","계","홍콩거주난민","지역, 국적 및 성별 등록외국인 현황[명]","명","2","1","1","",
"계","계","투발루","지역, 국적 및 성별 등록외국인 현황[명]","명","","","1","",
"계","계","사모아","지역, 국적 및 성별 등록외국인 현황[명]","명","1","","","",
"계","계","마샬군도","지역, 국적 및 성별 등록외국인 현황[명]","명","7","1","","",
"계","계","세인트빈센트그레나딘","지역, 국적 및 성별 등록외국인 현황[명]","명","1","","","",
"계","계","기타","지역, 국적 및 성별 등록외국인 현황[명]","명","","","173","",
"계","남자","계","지역, 국적 및 성별 등록외국인 현황[명]","명","672203","610466","651360","727281",
"계","남자","한국계중국인","지역, 국적 및 성별 등록외국인 현황[명]","명","129627","138544","159778","187112",
"계","남자","중국","지역, 국적 및 성별 등록외국인 현황[명]","명","69662","66173","69524","80829",
"계","남자","베트남","지역, 국적 및 성별 등록외국인 현황[명]","명","98533","86769","87564","90795",
"계","남자","우즈베키스탄","지역, 국적 및 성별 등록외국인 현황[명]","명","34781","30589","33255","38574",
"계","남자","필리핀","지역, 국적 및 성별 등록외국인 현황[명]","명","23746","19901","21939","25535",
"계","남자","캄보디아","지역, 국적 및 성별 등록외국인 현황[명]","명","30302","27162","27058","30677",
"계","남자","네팔","지역, 국적 및 성별 등록외국인 현황[명]","명","38795","31081","34015","36418",
"계","남자","인도네시아","지역, 국적 및 성별 등록외국인 현황[명]","명","36092","27243","30072","33664",
"계","남자","타이(태국)","지역, 국적 및 성별 등록외국인 현황[명]","명","20276","19908","20085","22294",
"계","남자","미얀마","지역, 국적 및 성별 등록외국인 현황[명]","명","27810","22632","23748","26361",
"계","남자","미국","지역, 국적 및 성별 등록외국인 현황[명]","명","16344","15268","14280","14072",
"계","남자","몽골","지역, 국적 및 성별 등록외국인 현황[명]","명","12840","11014","11863","12088",
"계","남자","일본","지역, 국적 및 성별 등록외국인 현황[명]","명","5299","5219","5241","5590",
"계","남자","스리랑카","지역, 국적 및 성별 등록외국인 현황[명]","명","21290","18172","20504","22710",
"계","남자","타이완(대만)","지역, 국적 및 성별 등록외국인 현황[명]","명","8301","8540","8965","9486",
"계","남자","카자흐스탄","지역, 국적 및 성별 등록외국인 현황[명]","명","9075","7512","7809","9523",
"계","남자","방글라데시","지역, 국적 및 성별 등록외국인 현황[명]","명","15661","11787","12658","13813",
"계","남자","러시아(연방)","지역, 국적 및 성별 등록외국인 현황[명]","명","5589","4944","5201","5677",
"계","남자","파키스탄","지역, 국적 및 성별 등록외국인 현황[명]","명","10003","8682","9230","9943",
"계","남자","인도","지역, 국적 및 성별 등록외국인 현황[명]","명","8477","7051","6886","7207",
"계","남자","키르기즈","지역, 국적 및 성별 등록외국인 현황[명]","명","3285","2339","2431","2903",
"계","남자","영국","지역, 국적 및 성별 등록외국인 현황[명]","명","3013","2862","2758","2897",
"계","남자","캐나다","지역, 국적 및 성별 등록외국인 현황[명]","명","2702","2668","2653","2786",
"계","남자","말레이시아","지역, 국적 및 성별 등록외국인 현황[명]","명","1787","1816","2023","2493",
"계","남자","프랑스","지역, 국적 및 성별 등록외국인 현황[명]","명","2454","1798","1867","2029",
"계","남자","우크라이나","지역, 국적 및 성별 등록외국인 현황[명]","명","1270","1194","1408","1626",
"계","남자","이집트","지역, 국적 및 성별 등록외국인 현황[명]","명","2007","2083","2213","2440",
"계","남자","남아프리카공화국","지역, 국적 및 성별 등록외국인 현황[명]","명","1269","1087","1107","1143",
"계","남자","나이지리아","지역, 국적 및 성별 등록외국인 현황[명]","명","1949","1922","1913","1863",
"계","남자","독일","지역, 국적 및 성별 등록외국인 현황[명]","명","1531","1241","1118","1265",
"계","남자","티모르민주공화국(동티모르)","지역, 국적 및 성별 등록외국인 현황[명]","명","3029","2124","2065","2188",
"계","남자","홍콩","지역, 국적 및 성별 등록외국인 현황[명]","명","435","394","403","427",
"계","남자","오스트레일리아","지역, 국적 및 성별 등록외국인 현황[명]","명","1100","1029","1012","1043",
"계","남자","시리아","지역, 국적 및 성별 등록외국인 현황[명]","명","1095","1038","1072","1078",
"계","남자","튀르키예","지역, 국적 및 성별 등록외국인 현황[명]","명","1861","827","839","841",
"계","남자","한국계러시아인","지역, 국적 및 성별 등록외국인 현황[명]","명","909","778","619","599",
"계","남자","가나","지역, 국적 및 성별 등록외국인 현황[명]","명","941","906","912","977",
"계","남자","모로코","지역, 국적 및 성별 등록외국인 현황[명]","명","727","665","677","694",
"계","남자","이란","지역, 국적 및 성별 등록외국인 현황[명]","명","656","613","594","600",
"계","남자","예멘공화국","지역, 국적 및 성별 등록외국인 현황[명]","명","860","845","850","847",
"계","남자","라오스","지역, 국적 및 성별 등록외국인 현황[명]","명","941","380","353","363",
"계","남자","사우디아라비아","지역, 국적 및 성별 등록외국인 현황[명]","명","526","474","491","619",
"계","남자","에티오피아","지역, 국적 및 성별 등록외국인 현황[명]","명","697","640","621","591",
"계","남자","이탈리아","지역, 국적 및 성별 등록외국인 현황[명]","명","492","452","461","496",
"계","남자","카메룬","지역, 국적 및 성별 등록외국인 현황[명]","명","528","556","570","550",
"계","남자","브라질","지역, 국적 및 성별 등록외국인 현황[명]","명","557","438","387","425",
"계","남자","뉴질랜드","지역, 국적 및 성별 등록외국인 현황[명]","명","479","476","476","526",
"계","남자","스페인","지역, 국적 및 성별 등록외국인 현황[명]","명","488","414","358","380",
"계","남자","싱가포르","지역, 국적 및 성별 등록외국인 현황[명]","명","318","261","237","269",
"계","남자","네덜란드","지역, 국적 및 성별 등록외국인 현황[명]","명","417","299","282","408",
"계","남자","아일랜드","지역, 국적 및 성별 등록외국인 현황[명]","명","408","410","394","425",
"계","남자","멕시코","지역, 국적 및 성별 등록외국인 현황[명]","명","320","275","249","264",
"계","남자","아랍에미리트연합","지역, 국적 및 성별 등록외국인 현황[명]","명","262","163","117","321",
"계","남자","라이베리아","지역, 국적 및 성별 등록외국인 현황[명]","명","337","346","371","385",
"계","남자","타지키스탄","지역, 국적 및 성별 등록외국인 현황[명]","명","528","378","323","323",
"계","남자","우간다","지역, 국적 및 성별 등록외국인 현황[명]","명","365","314","318","326",
"계","남자","스웨덴","지역, 국적 및 성별 등록외국인 현황[명]","명","271","230","168","225",
"계","남자","알제리","지역, 국적 및 성별 등록외국인 현황[명]","명","314","317","349","340",
"계","남자","콜롬비아","지역, 국적 및 성별 등록외국인 현황[명]","명","194","177","158","169",
"계","남자","리비아","지역, 국적 및 성별 등록외국인 현황[명]","명","475","338","280","236",
"계","남자","케냐","지역, 국적 및 성별 등록외국인 현황[명]","명","262","224","225","248",
"계","남자","폴란드","지역, 국적 및 성별 등록외국인 현황[명]","명","192","151","128","136",
"계","남자","세네갈","지역, 국적 및 성별 등록외국인 현황[명]","명","261","258","290","312",
"계","남자","페루","지역, 국적 및 성별 등록외국인 현황[명]","명","168","151","146","140",
"계","남자","아프가니스탄","지역, 국적 및 성별 등록외국인 현황[명]","명","517","484","234","254",
"계","남자","벨기에","지역, 국적 및 성별 등록외국인 현황[명]","명","217","192","175","201",
"계","남자","이라크","지역, 국적 및 성별 등록외국인 현황[명]","명","280","222","190","207",
"계","남자","요르단","지역, 국적 및 성별 등록외국인 현황[명]","명","307","262","217","200",
"계","남자","투르크메니스탄","지역, 국적 및 성별 등록외국인 현황[명]","명","116","129","153","164",
"계","남자","튀니지","지역, 국적 및 성별 등록외국인 현황[명]","명","192","167","170","173",
"계","남자","노르웨이","지역, 국적 및 성별 등록외국인 현황[명]","명","125","115","103","147",
"계","남자","기니","지역, 국적 및 성별 등록외국인 현황[명]","명","203","211","218","211",
"계","남자","수단","지역, 국적 및 성별 등록외국인 현황[명]","명","204","178","179","175",
"계","남자","탄자니아","지역, 국적 및 성별 등록외국인 현황[명]","명","321","191","157","178",
"계","남자","르완다","지역, 국적 및 성별 등록외국인 현황[명]","명","207","163","147","155",
"계","남자","스위스","지역, 국적 및 성별 등록외국인 현황[명]","명","201","169","156","150",
"계","남자","에콰도르","지역, 국적 및 성별 등록외국인 현황[명]","명","110","95","96","107",
"계","남자","덴마크","지역, 국적 및 성별 등록외국인 현황[명]","명","182","140","108","138",
"계","남자","벨로루시","지역, 국적 및 성별 등록외국인 현황[명]","명","72","57","63","74",
"계","남자","콩고민주공화국","지역, 국적 및 성별 등록외국인 현황[명]","명","174","156","145","147",
"계","남자","말리","지역, 국적 및 성별 등록외국인 현황[명]","명","212","186","195","187",
"계","남자","그리스","지역, 국적 및 성별 등록외국인 현황[명]","명","148","155","172","159",
"계","남자","오스트리아","지역, 국적 및 성별 등록외국인 현황[명]","명","130","107","109","123",
"계","남자","아제르바이잔","지역, 국적 및 성별 등록외국인 현황[명]","명","154","117","105","114",
"계","남자","루마니아","지역, 국적 및 성별 등록외국인 현황[명]","명","102","82","59","66",
"계","남자","핀란드","지역, 국적 및 성별 등록외국인 현황[명]","명","107","77","72","85",
"계","남자","칠레","지역, 국적 및 성별 등록외국인 현황[명]","명","73","60","50","50",
"계","남자","헝가리","지역, 국적 및 성별 등록외국인 현황[명]","명","61","54","58","61",
"계","남자","코트디부아르","지역, 국적 및 성별 등록외국인 현황[명]","명","112","102","109","101",
"계","남자","베네수엘라","지역, 국적 및 성별 등록외국인 현황[명]","명","67","59","55","68",
"계","남자","포르투갈","지역, 국적 및 성별 등록외국인 현황[명]","명","87","81","70","80",
"계","남자","앙골라","지역, 국적 및 성별 등록외국인 현황[명]","명","102","98","101","108",
"계","남자","이스라엘","지역, 국적 및 성별 등록외국인 현황[명]","명","93","80","65","61",
